month,high,low,close,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,total_vol_t,total_amt_cny,cum_vol_t,cum_amt_cny
2021-07,61.07,48.0,54.17,5051937.0,261509388.3,900000.0,38076000.0,5951937.0,299585388.3,,
2021-08,59.0,44.0,45.35,353636.0,18837232.64,2134856.0,97713693.72,2488492.0,116550926.36,8440429.0,416136314.66
2021-09,50.18,41.0,42.21,225207.0,9602629.76,8983359.0,374989740.56,9208566.0,384592370.32,17648995.0,800728684.98
2021-10,48.49,38.5,42.41,407431.0,17650040.91,2145539.0,89776306.71,2552970.0,107426347.62,20201965.0,908155032.6
2021-11,46.0,42.0,42.95,2960229.0,127041821.19,20069516.0,811928845.85,23029745.0,938970667.04,43231710.0,1847125699.64
2021-12,62.29,40.0,54.22,21776156.0,1016830048.93,113781484.0,4797274274.42,135557640.0,5814104323.35,178789350.0,7661230022.99
2022-01,61.6,51.71,61.38,991818.0,57026625.12,6870646.0,353828358.7,7862464.0,410854983.82,186651814.0,8072085006.81
2022-02,60.0,50.54,57.74,192429.0,11108462.81,1478186.0,85316718.0,1670615.0,96425180.81,188322429.0,8168510187.62
2022-03,59.0,57.0,58.55,167898.0,9762411.9,540656.0,30206408.0,708554.0,39968819.9,189030983.0,8208479007.52
2022-04,60.0,58.0,58.8,45435.0,2685895.0,1405093.0,79909907.5,1450528.0,82595802.5,190481511.0,8291074810.02
2022-05,61.0,58.0,59.0,125149.0,7280025.0,2130000.0,120840000.0,2255149.0,128120025.0,192736660.0,8419194835.02
2022-06,60.0,57.5,57.5,290.0,17180.0,770000.0,44549000.0,770290.0,44566180.0,193506950.0,8463761015.02
2022-07,60.0,55.0,58.0,441990.0,25529223.56,650000.0,38701000.0,1091990.0,64230223.56,194598940.0,8527991238.58
2022-08,59.5,57.0,58.0,196652.0,11455338.5,351335.0,19285097.5,547987.0,30740436.0,195146927.0,8558731674.58
2022-09,59.0,57.0,57.5,10810.0,634565.0,0.0,0.0,10810.0,634565.0,195157737.0,8559366239.58
2022-10,58.7,57.5,58.0,310060.0,18119631.0,659686.0,34727334.0,969746.0,52846965.0,196127483.0,8612213204.58
2022-11,58.2,57.3,57.52,2634242.0,152078300.2,4664130.0,251596533.38,7298372.0,403674833.58,203425855.0,9015888038.16
