week_start,week_end,high,low,close,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,total_vol_t,total_amt_cny,cum_vol_t,cum_amt_cny
2021-07-19,2021-07-23,61.07,52.08,56.97,629000.0,34174744.0,100000.0,5292000.0,729000.0,39466744.0,,
2021-07-26,2021-07-30,58.1,50.98,54.17,318984.0,17104591.05,800000.0,32784000.0,1118984.0,49888591.05,,
2021-08-02,2021-08-06,59.0,48.0,52.96,187027.0,10116849.4,0.0,0.0,187027.0,10116849.4,6138964.0,309702237.7
2021-08-09,2021-08-13,58.26,52.0,54.0,100012.0,5471590.03,279856.0,14100693.72,379868.0,19572283.75,6518832.0,329274521.45
2021-08-16,2021-08-20,52.5,49.0,49.0,22012.0,1112464.0,1400000.0,63100000.0,1422012.0,64212464.0,7940844.0,393486985.45
2021-08-23,2021-08-27,50.2,44.0,45.09,44527.0,2133705.36,455000.0,20513000.0,499527.0,22646705.36,8440371.0,416133690.81
2021-08-30,2021-09-03,46.0,44.21,44.67,658.0,29442.45,0.0,0.0,658.0,29442.45,8441029.0,416163133.26
2021-09-06,2021-09-10,44.0,41.8,44.0,6312.0,275022.1,0.0,0.0,6312.0,275022.1,8447341.0,416438155.36
2021-09-13,2021-09-17,50.18,41.6,43.43,32090.0,1411550.5,0.0,0.0,32090.0,1411550.5,8479431.0,417849705.86
2021-09-22,2021-09-24,46.0,42.2,43.43,11572.0,507298.3,0.0,0.0,11572.0,507298.3,8491003.0,418357004.16
2021-09-27,2021-09-30,45.8,41.0,42.21,174633.0,7381940.26,8983359.0,374989740.56,9157992.0,382371680.82,17648995.0,800728684.98
2021-10-11,2021-10-15,48.49,43.1,43.9,112554.0,5026796.4,385539.0,16921306.71,498093.0,21948103.11,18150088.0,822809018.09
2021-10-18,2021-10-22,45.7,41.5,42.99,120536.0,5189011.9,840000.0,34710000.0,960536.0,39899011.9,19110624.0,862708029.99
2021-10-25,2021-10-29,46.0,38.5,42.41,171341.0,7302002.61,920000.0,38145000.0,1091341.0,45447002.61,20201965.0,908155032.6
2021-11-01,2021-11-05,43.0,42.0,42.69,214437.0,9107681.93,1757744.0,72957822.87,1972181.0,82065504.8,22174146.0,990220537.4
2021-11-08,2021-11-12,43.0,42.4,42.66,131495.0,5607745.9,2608517.0,110020031.41,2740012.0,115627777.31,24914158.0,1105848314.71
2021-11-15,2021-11-19,46.0,42.66,43.05,373933.0,16121157.62,4808667.0,173148174.93,5182600.0,189269332.55,30096758.0,1295117647.26
2021-11-22,2021-11-26,43.5,42.79,42.85,1501606.0,64483958.98,5629848.0,236916115.7,7131454.0,301400074.68,37228212.0,1596517721.94
2021-11-29,2021-12-03,43.2,40.0,42.94,2972815.0,127621879.28,11196071.0,459932025.72,14168886.0,587553905.0,51397098.0,2184071626.94
2021-12-06,2021-12-10,43.19,40.4,42.69,3798365.0,160367221.02,21728691.0,858328737.79,25527056.0,1018695958.81,76924154.0,3202767585.75
2021-12-13,2021-12-17,46.99,42.6,46.66,6648051.0,289148481.55,47023869.0,1864810686.13,53671920.0,2153959167.68,130596074.0,5356726753.43
2021-12-20,2021-12-24,51.33,45.01,49.52,4589368.0,226812682.52,15533396.0,698207128.59,20122764.0,925019811.11,150718838.0,6281746564.54
2021-12-27,2021-12-31,62.29,47.0,54.22,4506315.0,244601061.32,23564197.0,1134882397.13,28070512.0,1379483458.45,178789350.0,7661230022.99
2022-01-04,2022-01-07,59.64,54.23,57.59,555692.0,31907394.34,4028039.0,214620984.36,4583731.0,246528378.7,183373081.0,7907758401.69
2022-01-10,2022-01-14,58.5,57.0,57.77,380819.0,22012968.13,2842607.0,139207374.34,3223426.0,161220342.47,186596507.0,8068978744.16
2022-01-17,2022-01-21,58.5,52.2,57.46,53848.0,3018128.2,0.0,0.0,53848.0,3018128.2,186650355.0,8071996872.36
2022-01-24,2022-01-28,61.6,51.71,61.38,1459.0,88134.45,0.0,0.0,1459.0,88134.45,186651814.0,8072085006.81
2022-02-07,2022-02-11,60.0,55.0,56.15,72438.0,4237425.4,0.0,0.0,72438.0,4237425.4,186724252.0,8076322432.21
2022-02-14,2022-02-18,58.8,50.54,56.88,2151.0,121832.34,0.0,0.0,2151.0,121832.34,186726403.0,8076444264.55
2022-02-21,2022-02-25,59.0,51.3,58.53,117590.0,6734771.07,1359670.0,80220530.0,1477260.0,86955301.07,188203663.0,8163399565.62
2022-02-28,2022-03-04,59.0,52.68,57.9,580.0,33536.0,318516.0,16396188.0,319096.0,16429724.0,188522759.0,8179829289.62
2022-03-07,2022-03-11,58.0,57.0,57.6,1860.0,106336.0,0.0,0.0,1860.0,106336.0,188524619.0,8179935625.62
2022-03-14,2022-03-18,58.0,57.0,58.0,14313.0,816454.9,340656.0,18906408.0,354969.0,19722862.9,188879588.0,8199658488.52
2022-03-21,2022-03-25,59.0,58.0,58.0,81830.0,4747374.0,0.0,0.0,81830.0,4747374.0,188961418.0,8204405862.52
2022-03-28,2022-04-01,58.7,58.0,58.5,69615.0,4076070.0,0.0,0.0,69615.0,4076070.0,189031033.0,8208481932.52
2022-04-06,2022-04-08,60.0,59.0,59.99,5045.0,302640.0,130000.0,7410000.0,135045.0,7712640.0,189166078.0,8216194572.52
2022-04-11,2022-04-15,60.0,60.0,60.0,90.0,5400.0,375880.0,21475160.0,375970.0,21480560.0,189542048.0,8237675132.52
2022-04-18,2022-04-22,60.0,60.0,60.0,160.0,9600.0,0.0,0.0,160.0,9600.0,189542208.0,8237684732.52
2022-04-25,2022-04-29,60.0,58.0,58.8,40090.0,2365330.0,899213.0,51024747.5,939303.0,53390077.5,190481511.0,8291074810.02
2022-05-05,2022-05-06,60.0,58.0,58.0,100020.0,5801180.0,690000.0,39870000.0,790020.0,45671180.0,191271531.0,8336745990.02
2022-05-09,2022-05-13,58.0,58.0,58.0,3708.0,215064.0,110000.0,6600000.0,113708.0,6815064.0,191385239.0,8343561054.02
2022-05-16,2022-05-20,58.0,58.0,58.0,50.0,2900.0,200000.0,12200000.0,200050.0,12202900.0,191585289.0,8355763954.02
2022-05-23,2022-05-27,61.0,58.0,59.0,21351.0,1259701.0,530000.0,29470000.0,551351.0,30729701.0,192136640.0,8386493655.02
2022-05-30,2022-06-02,59.0,59.0,59.0,40.0,2360.0,700000.0,38200000.0,700040.0,38202360.0,192836680.0,8424696015.02
2022-06-06,2022-06-10,59.0,59.0,59.0,50.0,2950.0,150000.0,8955000.0,150050.0,8957950.0,192986730.0,8433653965.02
2022-06-13,2022-06-17,59.0,59.0,59.0,50.0,2950.0,0.0,0.0,50.0,2950.0,192986780.0,8433656915.02
2022-06-20,2022-06-24,60.0,59.0,60.0,120.0,7165.0,520000.0,30094000.0,520120.0,30101165.0,193506900.0,8463758080.02
2022-06-27,2022-07-01,60.0,57.5,58.0,124990.0,7249460.0,200000.0,11500000.0,324990.0,18749460.0,193831890.0,8482507540.02
2022-07-04,2022-07-08,60.0,55.0,57.02,140241.0,8023360.1,0.0,0.0,140241.0,8023360.1,193972131.0,8490530900.12
2022-07-11,2022-07-15,60.0,57.0,58.24,30024.0,1721661.46,0.0,0.0,30024.0,1721661.46,194002155.0,8492252561.58
2022-07-18,2022-07-22,58.6,56.0,57.0,85054.0,4898750.0,150000.0,8925000.0,235054.0,13823750.0,194237209.0,8506076311.58
2022-07-25,2022-07-29,59.0,57.0,58.0,61731.0,3638927.0,300000.0,18276000.0,361731.0,21914927.0,194598940.0,8527991238.58
2022-08-01,2022-08-05,59.5,57.0,58.5,74296.0,4343819.5,0.0,0.0,74296.0,4343819.5,194673236.0,8532335058.08
2022-08-08,2022-08-12,59.0,58.0,58.0,27400.0,1593700.0,221335.0,11680097.5,248735.0,13273797.5,194921971.0,8545608855.58
2022-08-15,2022-08-19,58.0,58.0,58.0,80800.0,4686400.0,0.0,0.0,80800.0,4686400.0,195002771.0,8550295255.58
2022-08-22,2022-08-26,59.5,58.0,58.5,13088.0,769141.0,0.0,0.0,13088.0,769141.0,195015859.0,8551064396.58
2022-08-29,2022-09-02,58.5,58.0,58.0,1468.0,85478.0,130000.0,7605000.0,131468.0,7690478.0,195147327.0,8558754874.58
2022-09-05,2022-09-09,59.0,58.0,58.0,8400.0,495345.0,0.0,0.0,8400.0,495345.0,195155727.0,8559250219.58
2022-09-13,2022-09-16,58.5,58.0,58.0,400.0,23250.0,0.0,0.0,400.0,23250.0,195156127.0,8559273469.58
