cell_id,lat,lon,land_frac,in_province,dist_to_province,offshore_zone,retain,w_uniform,w_province,w_wind,w_solar,cap_source
53,38.25,119.75,0.0,0.0,0.4195,1,1,1.0,0.0,0.0,0.0,fallback:w_province
54,38.25,120.0,0.0,0.0,0.4433,1,1,1.0,0.0,0.0,0.0,fallback:w_province
55,38.25,120.25,0.0,0.0,0.2628,1,1,1.0,0.0,0.0,0.0,fallback:w_province
56,38.25,120.5,0.0,0.0,0.0128,1,1,1.0,0.0,0.0,0.0,fallback:w_province
57,38.25,120.75,0.0,0.0401,0.0,1,1,1.0,0.0401,0.0401,0.0401,fallback:w_province
58,38.25,121.0,0.0,0.0064,0.0,1,1,1.0,0.0064,0.0064,0.0064,fallback:w_province
59,38.25,121.25,0.0,0.0,0.1932,1,1,1.0,0.0,0.0,0.0,fallback:w_province
60,38.25,121.5,0.0,0.0,0.4357,1,1,1.0,0.0,0.0,0.0,fallback:w_province
61,38.25,121.75,0.0,0.0,0.5516,1,0,0.0,0.0,0.0,0.0,fallback:w_province
62,38.25,122.0,0.0,0.0,0.5563,1,0,0.0,0.0,0.0,0.0,fallback:w_province
63,38.25,122.25,0.0,0.0,0.5577,1,0,0.0,0.0,0.0,0.0,fallback:w_province
64,38.25,122.5,0.0,0.0,0.6106,1,0,0.0,0.0,0.0,0.0,fallback:w_province
65,38.25,122.75,0.0,0.0,0.6848,1,0,0.0,0.0,0.0,0.0,fallback:w_province
66,38.0,114.75,1.0,0.0,1.2251,0,0,0.0,0.0,0.0,0.0,fallback:w_province
67,38.0,115.0,1.0,0.0,1.0064,0,0,0.0,0.0,0.0,0.0,fallback:w_province
68,38.0,115.25,1.0,0.0,0.8062,0,0,0.0,0.0,0.0,0.0,fallback:w_province
69,38.0,115.5,1.0,0.0,0.642,0,0,0.0,0.0,0.0,0.0,fallback:w_province
70,38.0,115.75,1.0,0.0,0.5231,0,0,0.0,0.0,0.0,0.0,fallback:w_province
71,38.0,116.0,1.0,0.0,0.3518,0,0,0.0,0.0,0.0,0.0,fallback:w_province
72,38.0,116.25,1.0,0.0,0.2938,0,0,0.0,0.0,0.0,0.0,fallback:w_province
73,38.0,116.5,1.0,0.0,0.1446,0,0,0.0,0.0,0.0,0.0,fallback:w_province
74,38.0,116.75,1.0,0.0,0.0271,0,0,0.0,0.0,0.0,0.0,fallback:w_province
75,38.0,117.0,1.0,0.0,0.0255,0,0,0.0,0.0,0.0,0.0,fallback:w_province
76,38.0,117.25,1.0,0.0,0.0123,0,0,0.0,0.0,0.0,0.0,fallback:w_province
77,38.0,117.5,1.0,0.3345,0.0,0,1,1.0,0.3345,0.3345,0.3345,fallback:w_province
78,38.0,117.75,1.0,0.9174,0.0,0,1,1.0,0.9174,0.9174,0.9174,fallback:w_province
79,38.0,118.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
80,38.0,118.25,1.0,0.998,0.0,0,1,1.0,0.998,0.998,0.998,fallback:w_province
81,38.0,118.5,1.0,0.9046,0.0,0,1,1.0,0.9046,0.9046,0.9046,fallback:w_province
82,38.0,118.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
83,38.0,119.0,1.0,0.6168,0.0,0,1,1.0,0.6168,0.6168,0.6168,fallback:w_province
84,38.0,119.25,0.0,0.0027,0.0,0,0,0.0,0.0,0.0,0.0,fallback:w_province
85,38.0,119.5,0.0,0.0,0.0768,1,1,1.0,0.0,0.0,0.0,fallback:w_province
86,38.0,119.75,0.0,0.0,0.3221,1,1,1.0,0.0,0.0,0.0,fallback:w_province
87,38.0,120.0,0.0,0.0,0.2082,1,1,1.0,0.0,0.0,0.0,fallback:w_province
88,38.0,120.25,0.0,0.0,0.1071,1,1,1.0,0.0,0.0,0.0,fallback:w_province
89,38.0,120.5,0.0,0.0113,0.0,1,1,1.0,0.0113,0.0113,0.0113,fallback:w_province
