id,latitude,longitude,count,capacity_mw,iso3,landscape_area_km2
7275,38.097858,118.116937,1,,CHN,2.01061929829747
7276,38.074311,118.10785,1,,CHN,2.01061929829747
7277,38.100201,118.109286,1,,CHN,2.01061929829747
7278,38.079114,118.121149,1,,CHN,2.01061929829747
7279,38.115454,118.098384,1,,CHN,2.01061929829747
7280,38.066481,118.107857,1,,CHN,2.01061929829747
7281,38.083518,118.107891,1,,CHN,2.01061929829747
7282,38.091166,118.107917,1,,CHN,2.01061929829747
7283,38.109549,118.127022,1,,CHN,2.01061929829747
7284,38.122365,118.108159,1,,CHN,2.01061929829747
7285,38.091577,118.117938,1,,CHN,2.01061929829747
7286,38.120175,118.256846,1,,CHN,2.01061929829747
7287,38.042233,118.643884,1,,CHN,2.01061929829747
7288,38.025795,118.273389,1,,CHN,2.01061929829747
7289,38.072057,118.225218,1,,CHN,2.01061929829747
7290,38.079745,118.131246,1,,CHN,2.01061929829747
7291,38.082817,118.148532,1,,CHN,2.01061929829747
7292,38.089452,118.258117,1,,CHN,2.01061929829747
7293,38.102718,118.127155,1,,CHN,2.01061929829747
7294,38.112427,118.321289,1,,CHN,2.01061929829747
7326,36.14063,118.736982,1,,CHN,2.01061929829747
7327,37.257235,118.966845,1,,CHN,2.01061929829747
7328,37.33042,118.843765,1,,CHN,2.01061929829747
7329,37.983498,118.920907,1,,CHN,2.01061929829747
7330,37.986812,118.912538,1,,CHN,2.01061929829747
7331,37.235496,118.937489,1,,CHN,2.01061929829747
7359,38.016013,118.912239,1,,CHN,2.01061929829747
7412,34.979093,118.7315,1,,CHN,2.01061929829747
7413,36.101405,118.800448,1,,CHN,2.01061929829747
7416,36.01581,119.945244,1,,CHN,2.01061929829747
7485,37.011613,119.539361,1,,CHN,2.01061929829747
7489,35.032474,117.805583,1,,CHN,2.01061929829747
7509,37.891967,117.493587,1,,CHN,2.01061929829747
7551,36.261798,116.503703,1,,CHN,2.01061929829747
7552,36.217727,116.458924,1,,CHN,2.01061929829747
7556,35.01591,117.507878,1,,CHN,2.01061929829747
7557,35.032462,117.538364,1,,CHN,2.01061929829747
7558,35.049408,117.530555,1,,CHN,2.01061929829747
7559,35.051426,117.551365,1,,CHN,2.01061929829747
7560,35.013911,117.579566,1,,CHN,2.01061929829747
7561,35.02235,117.574334,1,,CHN,2.01061929829747
7603,35.921053,119.755032,1,,CHN,2.01061929829747
7647,34.487297,117.343889,1,,CHN,2.01061929829747
7648,34.516745,117.34868,1,,CHN,2.01061929829747
7649,34.434599,117.241605,1,,CHN,2.01061929829747
7665,37.143731,119.118944,1,,CHN,2.01061929829747
7666,37.250269,118.983553,1,,CHN,2.01061929829747
7667,37.256742,118.98366,1,,CHN,2.01061929829747
7668,37.327658,118.917705,1,,CHN,2.01061929829747
7669,37.327931,118.899101,1,,CHN,2.01061929829747
7689,36.441352,118.804039,1,,CHN,2.01061929829747
7690,36.125697,119.290515,1,,CHN,2.01061929829747
7691,36.100814,119.258551,1,,CHN,2.01061929829747
7692,35.917402,119.041068,1,,CHN,2.01061929829747
7693,35.953913,119.034111,1,,CHN,2.01061929829747
7694,35.942548,119.01857,1,,CHN,2.01061929829747
7711,38.373357,117.204981,1,,CHN,2.01061929829747
7712,38.365761,117.201451,1,,CHN,2.01061929829747
7714,38.234944,117.511976,1,,CHN,2.01061929829747
7715,38.24423,117.501976,1,,CHN,2.01061929829747
7716,38.229315,117.51792,1,,CHN,2.01061929829747
7717,38.21362,117.504122,1,,CHN,2.01061929829747
7718,38.223465,117.544495,1,,CHN,2.01061929829747
7719,38.212356,117.539163,1,,CHN,2.01061929829747
7720,38.230815,117.58564,1,,CHN,2.01061929829747
