id,latitude,longitude,count,capacity_mw,iso3,landscape_area_km2
18008,36.551119,116.986648,7,,CHN,0.045655850168407
18014,34.561765,116.157943,109,10.8802183040664,CHN,0.34638610042356
18027,35.804564,118.913626,12,16.044670585671,CHN,0.811582335999533
18028,35.527675,118.325628,12,,CHN,0.0318348981177807
18053,36.415694,118.428737,45,18.102070993431,CHN,0.630811163070023
18561,34.365659,120.064194,7,12.1201566936967,CHN,0.360437284728765
32774,36.603531,119.179638,2,,CHN,0.0754083220117092
32793,37.060833,119.495908,10,80.0298977078093,CHN,2.25322395331281
32801,35.435828,117.604691,25,32.1903636353318,CHN,0.764442930108747
32945,35.675327,118.15289,8,30.1618692534538,CHN,0.707609367164493
32958,35.358839,116.634066,3,27.3437685038781,CHN,0.629840811217308
32999,36.553506,117.914096,12,20.3449467129312,CHN,0.443432740019619
33023,36.369318,117.161151,2,,CHN,0.00112693046671152
33024,36.346365,117.116577,3,,CHN,0.000878634059429169
33034,36.675146,117.20517,5,,CHN,0.0456551576276142
33051,34.446968,119.861738,4,11.3937099607638,CHN,0.222828530813932
33060,34.407699,117.328189,6,16.7518792298317,CHN,0.352094911631227
33086,35.837531,118.929567,7,5.33653941833025,CHN,0.090571583455801
33087,35.850341,118.937166,17,,CHN,0.360564400980949
33088,36.136661,117.720703,5,13.4099833759958,CHN,0.270371625392502
33089,36.434994,117.0679,2,,CHN,0.00125753989472985
33093,38.210662,117.520238,28,176.552060969703,CHN,5.76309014361683
33109,38.086193,117.416958,6,8.13929004420577,CHN,0.149481252933502
33110,38.09408,117.420744,7,36.0789626182856,CHN,0.875248089404404
33174,35.494036,117.572265,18,18.0360544222328,CHN,0.38435617602241
