latitude,longitude,capacity_mw,capacity_std_mw,hub_height_m,class,first_operating_quarter,water_depth_m,nation
34.595694,119.763888,8.183303220291592,1.0678819569077613,144.08789819487117,owt,Y2020Q1,-12.0,China
34.58689,119.756611,8.183303220291592,1.0678819569077613,144.08789819487117,owt,Y2020Q1,-12.0,China
34.591472,119.740621,8.183303220291592,1.0678819569077613,144.08789819487117,owt,Y2020Q1,-13.0,China
34.589316,119.748257,8.183303220291592,1.0678819569077613,144.08789819487117,owt,Y2020Q1,-12.0,China
34.580063,119.781495,8.183303220291592,1.0678819569077613,144.08789819487117,owt,Y2020Q1,-11.0,China
34.582309,119.77323,8.183303220291592,1.0678819569077613,144.08789819487117,owt,Y2020Q4,-12.0,China
34.592999,119.776015,8.183303220291592,1.0678819569077613,144.08789819487117,owt,Y2020Q2,-12.0,China
34.584644,119.764876,8.183303220291592,1.0678819569077613,144.08789819487117,owt,Y2020Q3,-12.0,China
34.569463,119.819404,8.183303220291592,1.0678819569077613,144.08789819487117,owt,Y2021Q2,-11.0,China
34.604138,119.801886,,,,sub,,,China
34.593268,119.821829,,,,const,,,China
34.585004,119.812666,,,,const,,,China
34.59228,119.838628,,,,sub,,,China
34.609707,119.840155,,,,const,,,China
34.519157,119.98128,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q1,-11.0,China
34.529128,119.987928,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2021Q1,-12.0,China
34.53919,119.994306,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-12.0,China
34.525805,119.995653,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-12.0,China
34.520594,120.037335,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q3,-12.0,China
34.520864,120.007241,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q2,-12.0,China
34.528949,120.018021,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
34.534608,120.004906,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-12.0,China
34.52311,120.031586,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-12.0,China
34.531913,120.011194,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
34.526074,120.024759,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q3,-11.0,China
34.518439,120.042635,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q1,-11.0,China
34.509276,120.063925,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2021Q2,-11.0,China
34.499125,120.057457,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2018Q1,-12.0,China
34.481877,120.067698,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2020Q1,-12.0,China
34.504604,120.074525,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-12.0,China
34.502449,120.079825,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q2,-11.0,China
34.50694,120.069225,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2021Q2,-12.0,China
34.488435,120.052606,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q3,-12.0,China
34.511522,120.058625,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
34.493825,120.070034,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2018Q2,-12.0,China
34.488435,120.08261,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2018Q4,-11.0,China
34.478733,120.075244,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
34.485201,120.060152,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2018Q4,-12.0,China
34.513767,120.053235,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q1,-11.0,China
34.475589,120.08279,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
34.500023,120.085215,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
34.488794,120.111266,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
34.49095,120.106415,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-12.0,China
34.486997,120.115578,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
34.493286,120.101115,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
34.483853,120.122765,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q4,-11.0,China
34.485381,120.119261,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2017Q3,-11.0,China
34.482955,120.095186,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2021Q2,-12.0,China
34.47505,120.113512,7.783991210779204,0.6018687276927631,119.85408813697371,owt,Y2016Q4,-11.0,China
