unique_id,latitude,longitude,capacity_mw,install_date,iso_3166_2,area_m2
927,38.081283,116.811245,4.013934675698517,2017-12-01,CN-13,46493.22140096397
933,37.425843,115.210405,1.5619876559828436,2016-08-21,CN-13,18031.07434446412
949,37.427238,115.214596,20.277792873280074,2016-08-21,CN-13,262881.8765274433
961,37.214932,115.130075,0.7096402156185361,2017-12-19,CN-13,7569.748527129405
1245,37.370294,115.942515,2.279242758939981,"2017-06-14,2017-08-03",CN-13,26358.876667394394
1260,37.213376,115.107993,0.7092518399852754,2017-10-20,CN-13,7567.18326027358
1307,38.083507,114.938549,1.1345570041367203,<2016-06,CN-13,13095.507866015383
1312,37.272985,115.108445,5.8656942456391725,<2016-06,CN-13,67684.70160800128
1325,38.081031,114.936418,17.704568691965,<2016-06,CN-13,229526.63508161646
1356,36.38961,114.938643,1.1122071361333643,2017-10-20,CN-13,12821.8262356751
1384,38.086993,116.813154,8.982190318855743,2017-12-01,CN-13,116850.84953868788
1389,37.516131,116.240297,0.7644712852508222,2016-06-02,CN-13,8178.090330419025
1394,36.991667,115.324481,1.160132186554353,2016-06-12,CN-13,13390.27126481306
1400,37.26283,115.072008,1.3064491871679895,2017-11-14,CN-13,15072.907661926329
1401,36.992705,115.324672,1.412876150700928,2016-06-12,CN-13,16306.165133445797
1405,37.515137,116.242334,0.7324520190266942,2016-06-02,CN-13,7832.985409256726
1415,37.315622,115.16415,0.36239788398146694,2017-10-20,CN-13,3867.0705485620592
1443,37.429491,115.209771,1.8018585892995629,2016-08-21,CN-13,20800.06590156338
1450,38.367871,114.953791,1.8272912265630454,<2016-06,CN-13,21123.17981689753
1454,37.637013,114.999624,1.4117529937844435,2017-02-27,CN-13,16281.072525026593
1460,36.877177,115.300235,13.71820319117185,<2016-06,CN-13,177690.00719044494
1461,38.186582,117.452745,32.478994433258435,"2017-05-15,2017-05-25",CN-13,423039.0578580186
1463,38.370095,114.957269,11.46881011794976,<2016-06,CN-13,148890.1085282876
1465,36.87332,115.292102,27.606595820807378,<2016-06,CN-13,357547.80735079397
1467,37.342301,115.006203,2.5431467849607055,<2016-06,CN-13,29319.156831928714
1469,37.342367,114.999586,19.578434015969886,<2016-06,CN-13,253459.97354273873
1473,36.607023,115.178112,27.951459216331447,2016-06-12,CN-13,361942.86859569594
1496,38.065367,116.793903,4.274591110493257,<2016-06,CN-13,49512.39294001968
1497,37.637311,115.00311,0.1748348672586756,2017-02-27,CN-13,1863.762706254832
1502,38.073481,116.791145,3.2928511723275387,<2016-06,CN-13,38127.55106584241
1503,38.070295,116.798003,27.622064174486574,<2016-06,CN-13,359231.2310204106
1510,38.075947,116.788214,7.1639516319416225,<2016-06,CN-13,82969.15763974514
1516,37.345791,115.000555,0.09900269378062465,<2016-06,CN-13,1055.2213423980158
1523,37.346049,114.998125,4.450029630260039,<2016-06,CN-13,51297.75738476978
1535,37.63556,115.001476,3.60169771700968,2017-02-27,CN-13,41529.17693877071
1537,37.842461,115.976981,5.523057925446266,2017-06-27,CN-13,63851.65515826681
1626,37.897676,116.072136,0.9132927816878594,2017-10-05,CN-13,9765.878040215901
1633,36.415852,115.190937,2.9810330512643772,2017-02-27,CN-13,34389.63813570041
1647,38.047863,114.944165,6.917230352608521,<2016-06,CN-13,79827.48528751012
1651,38.401606,117.459879,9.044337695327247,2017-11-21,CN-13,117935.72311397622
1663,37.93591,115.958383,22.833364610671314,2017-07-14,CN-13,296460.8113446553
1665,37.930113,115.958833,7.294867772774906,2017-07-14,CN-13,84337.13594399743
1682,37.246212,115.235727,25.190554269009432,2016-07-02,CN-13,326589.17753049167
