trade_date,listed_vwap,block_vwap,block_discount_pct,block_vol_t
2023-04-21,53.4,57.5,7.678,300000.0
2023-05-08,56.0,57.5,2.679,100000.0
2023-05-09,56.0,54.8,-2.143,100000.0
2023-05-15,56.0,57.1,1.964,100000.0
2023-05-17,56.25,56.3241,0.132,362500.0
2023-05-18,57.9286,56.3241,-2.77,362500.0
2023-06-02,58.5,42.96,-26.564,100000.0
2023-06-09,58.5,42.96,-26.564,100000.0
2023-06-21,57.002,42.96,-24.634,400000.0
2023-06-29,57.9752,58.15,0.302,200000.0
2023-06-30,60.0,60.0,0.0,275748.0
2023-07-04,60.0,54.66,-8.9,200000.0
2023-07-05,60.0,42.96,-28.4,650000.0
2023-07-07,58.1707,54.66,-6.035,193201.0
2023-07-10,59.0,59.5,0.847,150000.0
2023-07-12,59.7484,50.0,-16.316,100000.0
2023-07-14,60.0,60.0,0.0,250000.0
2023-07-21,63.4259,57.921,-8.679,318516.0
2023-07-24,64.0,56.0,-12.5,100000.0
2023-07-26,61.115,63.5,3.902,200000.0
2023-08-01,64.9876,62.0,-4.597,105713.0
2023-08-03,64.2659,63.5,-1.192,219800.0
2023-08-07,66.0,62.0,-6.061,112000.0
2023-08-09,67.929,67.0,-1.368,240000.0
2023-08-10,69.5171,67.0,-3.621,150000.0
2023-08-11,69.8951,67.0,-4.142,110000.0
2023-08-14,68.3302,52.0,-23.899,400000.0
2023-08-17,70.1001,55.422,-20.939,1033900.0
2023-08-18,72.8459,58.7685,-19.325,1483500.0
2023-08-22,72.7308,50.0,-31.253,370000.0
2023-08-23,74.7626,62.5026,-16.399,784816.0
2023-08-24,72.2978,67.4471,-6.709,371400.0
2023-08-25,73.0585,61.6269,-15.647,1199703.0
2023-08-28,74.462,54.0,-27.48,508112.0
2023-08-29,68.4688,58.8808,-14.003,1098672.0
2023-08-30,69.2668,63.876,-7.783,3242145.0
2023-08-31,70.0503,64.8873,-7.37,508782.0
2023-09-01,67.6712,55.6,-17.838,120000.0
2023-09-04,69.1952,54.1554,-21.735,6015323.0
2023-09-05,65.1333,69.5849,6.835,1204313.0
2023-09-06,69.93,56.1961,-19.639,1958622.0
2023-09-07,71.328,60.7544,-14.824,3067988.0
2023-09-08,71.9912,64.7447,-10.066,1264468.0
2023-09-11,72.1914,61.2381,-15.173,420000.0
2023-09-12,72.3333,67.3943,-6.828,1331470.0
2023-09-13,72.7612,66.9704,-7.959,659000.0
2023-09-14,73.7552,73.7223,-0.045,826679.0
2023-09-15,74.773,73.2502,-2.037,1215239.0
2023-09-18,74.9126,71.3194,-4.797,720000.0
2023-09-19,75.0952,73.125,-2.624,320000.0
2023-09-20,73.8287,68.7247,-6.913,1185034.0
2023-09-21,75.0766,71.415,-4.877,1879395.0
2023-09-22,75.2771,70.5145,-6.327,1239424.0
2023-09-25,75.5001,64.5245,-14.537,1229014.0
2023-09-26,75.9839,67.9457,-10.579,805587.0
2023-09-27,76.1701,65.9913,-13.363,1923402.0
2023-09-28,75.9095,68.3777,-9.922,1511782.0
2023-10-09,76.7846,70.1521,-8.638,2291814.0
2023-10-10,78.9945,67.665,-14.342,4530282.0
2023-10-11,79.1558,68.8715,-12.992,5197418.0
2023-10-12,80.6983,64.8999,-19.577,4830119.0
2023-10-13,80.1556,67.5165,-15.768,7000822.0
2023-10-16,81.1466,65.1899,-19.664,4712663.0
2023-10-17,80.9842,67.6701,-16.44,4023115.0
2023-10-18,81.1186,61.203,-24.551,14089638.0
2023-10-19,81.1021,66.4606,-18.053,5822792.0
2023-10-20,81.0794,66.7169,-17.714,5220905.0
2023-10-23,81.4211,80.5089,-1.12,4753955.0
2023-10-24,81.0767,77.8968,-3.922,4909579.0
